"","param","2.5 %","97.5 %","method","estimate","code"
"193","thermal_safety_margin",3.93794313157518,18.3433872451445,"case bootstrap",6.447,"fb3"
"194","thermal_tolerance",24.759148855171,62.4478899552314,"case bootstrap",35.977,"fb3"
"195","breadth",4.74863816258331,9.41631146323096,"case bootstrap",6.902,"fb3"
"196","rmax",3.62319101413673,4.28371738034639,"case bootstrap",4.04077834849592,"sk3"
"197","topt",26.2600876553992,28.5935543699854,"case bootstrap",27.486,"sk3"
"198","ctmin",-16.8968835434969,6.75522331319322,"case bootstrap",2.703,"sk3"
"199","ctmax",31.5304671190541,35.8807437098446,"case bootstrap",32.994,"sk3"
"200","e",0.244382949251917,1.00202891451899,"case bootstrap",0.723910638647414,"sk3"
"201","eh",0.120878732266308,1.66190894546963,"case bootstrap",0.642612987710873,"sk3"
"202","q10",2.33223464959305,3.14861857753711,"case bootstrap",2.62202446890442,"sk3"
"203","thermal_safety_margin",4.59964434357539,9.68513467543737,"case bootstrap",5.508,"sk3"
"204","thermal_tolerance",25.2944224043694,53.3925953401074,"case bootstrap",30.291,"sk3"
"205","breadth",6.12936785892292,9.778,"case bootstrap",6.907,"sk3"
"206","skewness",-0.880629041034456,1.2229323152542,"case bootstrap",0.0812976509365403,"sk3"
"207","rmax",4.04794757083097,4.95200878401982,"case bootstrap",4.31322851429292,"wp3"
"208","topt",25.2702334157582,29.2409067751265,"case bootstrap",27.605,"wp3"
"209","ctmin",-25.0707944063873,7.53142208763058,"case bootstrap",-2.477,"wp3"
"210","ctmax",30.0542978419847,42.3103972125584,"case bootstrap",34.143,"wp3"
"211","e",0.251328418642432,1.47798730506374,"case bootstrap",0.616027218893295,"wp3"
"212","eh",-0.819412985615903,0.275036117132495,"case bootstrap",-0.207106014422659,"wp3"
"213","thermal_safety_margin",4.16141312551226,14.2475491752595,"case bootstrap",6.538,"wp3"
"214","thermal_tolerance",22.3063366544246,61.1447426680677,"case bootstrap",36.62,"wp3"
"215","breadth",5.23027049739117,10,"case bootstrap",7.483,"wp3"
"216","skewness",0.1822648240045,1.70664472645714,"case bootstrap",0.823133233315954,"wp3"
"217","rmax",3.97557963722971,4.6172581208604,"case bootstrap",4.36714102585994,"hm3"
"218","topt",25.8819788840408,28.7842336283208,"case bootstrap",27.524,"hm3"
"219","ctmin",-10.2541311542951,6.61489085565573,"case bootstrap",0.518000000000001,"hm3"
"220","ctmax",31.3978106108051,37.6648165783357,"case bootstrap",33.471,"hm3"
"221","e",0.424339359572459,1.18649446643368,"case bootstrap",0.738874855267112,"hm3"
"222","eh",-0.865377526913539,0.767628899901253,"case bootstrap",-0.0494696946289963,"hm3"
"223","q10",2.3221626814855,3.33032272072179,"case bootstrap",2.67352540568526,"hm3"
"224","thermal_safety_margin",4.7068671236357,8.22153617999711,"case bootstrap",5.947,"hm3"
"225","thermal_tolerance",25.8865885351599,49.0200659577871,"case bootstrap",32.953,"hm3"
"226","breadth",5.9986110485237,8.99470764087307,"case bootstrap",7.175,"hm3"
"227","skewness",0.00459862958345564,1.9021625031133,"case bootstrap",0.788344549896109,"hm3"
