numero,param,conf_lower,conf_upper,method,estimate,code,pop,bin
180,ctmax,31.69068223,41.429,case bootstrap,32.755,bf3,bf,3
181,e,0.170697982,1.025552674,case bootstrap,0.890498981,bf3,bf,3
182,eh,-3.779299632,1.426335804,case bootstrap,0.009034245,bf3,bf,3
183,q10,2.351511761,3.845770268,case bootstrap,3.273971155,bf3,bf,3
184,thermal_safety_margin,4.12007227,11.429,case bootstrap,5.512,bf3,bf,3
185,thermal_tolerance,26.67572461,62.79,case bootstrap,31.635,bf3,bf,3
186,breadth,5.125612111,11.006,case bootstrap,6.949,bf3,bf,3
187,skewness,-0.539664839,4.550904158,case bootstrap,0.881464736,bf3,bf,3
188,rmax,2.980714633,4.188469349,case bootstrap,3.69818201,fb3,fb,3
189,topt,26.31902488,30,case bootstrap,28.108,fb3,fb,3
190,ctmin,-17.87821546,5.641787795,case bootstrap,-1.422,fb3,fb,3
191,ctmax,32.18809336,45.07049163,case bootstrap,34.555,fb3,fb,3
192,e,0.193555326,0.872072185,case bootstrap,0.46819264,fb3,fb,3
193,thermal_safety_margin,4.932245636,14.28383842,case bootstrap,6.447,fb3,fb,3
194,thermal_tolerance,27.01981692,56.290235,case bootstrap,35.977,fb3,fb,3
195,breadth,5.253892201,8.964439604,case bootstrap,6.902,fb3,fb,3
196,rmax,3.653623923,4.243034497,case bootstrap,4.040792793,sk3,sk,3
197,topt,26.3264241,28.62889179,case bootstrap,27.486,sk3,sk,3
198,ctmin,-10.77667605,6.644995363,case bootstrap,2.703,sk3,sk,3
199,ctmax,31.59609815,35.49617801,case bootstrap,32.994,sk3,sk,3
200,e,0.389282376,1.043188287,case bootstrap,0.723910639,sk3,sk,3
201,eh,0.135715558,1.284642208,case bootstrap,0.642612988,sk3,sk,3
202,q10,2.29476854,3.400744602,case bootstrap,2.622024469,sk3,sk,3
203,thermal_safety_margin,4.57433828,7.709552538,case bootstrap,5.508,sk3,sk,3
204,thermal_tolerance,25.19814804,42.86368734,case bootstrap,30.291,sk3,sk,3
205,breadth,5.727164215,10,case bootstrap,6.906,sk3,sk,3
206,skewness,-0.657165845,0.765475139,case bootstrap,0.081297651,sk3,sk,3
207,rmax,4.018311913,4.831131568,case bootstrap,4.313222516,wp3,wp,3
208,topt,26.04187919,29.76065108,case bootstrap,27.605,wp3,wp,3
209,ctmin,-26.95174594,5.931534291,case bootstrap,-2.477,wp3,wp,3
210,ctmax,30.51869367,39.61001737,case bootstrap,34.143,wp3,wp,3
211,e,0.253006883,1.404675163,case bootstrap,0.616027219,wp3,wp,3
212,eh,-0.739920314,0.334390504,case bootstrap,-0.207106014,wp3,wp,3
213,thermal_safety_margin,4.565021171,11.75407999,case bootstrap,6.538,wp3,wp,3
214,thermal_tolerance,25.40666033,63.29117287,case bootstrap,36.62,wp3,wp,3
215,breadth,5.472810799,10,case bootstrap,7.483,wp3,wp,3
216,skewness,0.099603204,1.731664213,case bootstrap,0.823133233,wp3,wp,3
217,rmax,4.049200072,4.698634449,case bootstrap,4.367127498,hm3,hm,3
218,topt,26.3887628,28.73595148,case bootstrap,27.524,hm3,hm,3
219,ctmin,-17.96315245,6.285341081,case bootstrap,0.517,hm3,hm,3
220,ctmax,31.75513042,39.21239759,case bootstrap,33.471,hm3,hm,3
221,e,0.432223021,2.166814825,case bootstrap,0.738874855,hm3,hm,3
222,eh,-0.74262334,0.709135296,case bootstrap,-0.049469695,hm3,hm,3
223,q10,2.365622259,3.476615005,case bootstrap,2.673525406,hm3,hm,3
224,thermal_safety_margin,4.82631736,11.09626824,case bootstrap,5.947,hm3,hm,3
225,thermal_tolerance,26.12422103,52.67399783,case bootstrap,32.954,hm3,hm,3
226,breadth,5.92814667,9.691480749,case bootstrap,7.175,hm3,hm,3
227,skewness,-0.045961597,1.642018599,case bootstrap,0.78834455,hm3,hm,3
