WTMP,DateTimeStamp,site
14.1154,11/26/2018 7:39,to3
14.2422,11/26/2018 8:09,to3
14.2049,11/26/2018 8:39,to3
14.2727,11/26/2018 9:09,to3
14.2679,11/26/2018 9:39,to3
14.2199,11/26/2018 10:09,to3
14.2349,11/26/2018 10:39,to3
14.2008,11/26/2018 11:09,to3
14.2,11/26/2018 11:39,to3
14.2085,11/26/2018 12:09,to3
14.1287,11/26/2018 12:39,to3
13.8261,11/26/2018 13:09,to3
13.4114,11/26/2018 13:39,to3
13.8096,11/26/2018 14:09,to3
13.86,11/26/2018 14:39,to3
13.8695,11/26/2018 15:09,to3
13.7798,11/26/2018 15:39,to3
13.7287,11/26/2018 16:09,to3
13.8548,11/26/2018 16:39,to3
13.8464,11/26/2018 17:09,to3
13.8694,11/26/2018 17:39,to3
13.8822,11/26/2018 18:09,to3
13.9306,11/26/2018 18:39,to3
13.949,11/26/2018 19:09,to3
14.0298,11/26/2018 19:39,to3
14.1116,11/26/2018 20:09,to3
14.1799,11/26/2018 20:39,to3
14.2412,11/26/2018 21:09,to3
14.256,11/26/2018 21:39,to3
14.2486,11/26/2018 22:09,to3
14.3306,11/26/2018 22:39,to3
14.2494,11/26/2018 23:09,to3
14.4673,11/26/2018 23:39,to3
14.4271,11/27/2018 0:09,to3
14.4391,11/27/2018 0:39,to3
14.4626,11/27/2018 1:09,to3
14.4773,11/27/2018 1:39,to3
14.4838,11/27/2018 2:09,to3
14.4945,11/27/2018 2:39,to3
14.4571,11/27/2018 3:09,to3
14.4002,11/27/2018 3:39,to3
14.2784,11/27/2018 4:09,to3
14.1684,11/27/2018 4:39,to3
14.1057,11/27/2018 5:09,to3
14.2567,11/27/2018 5:39,to3
14.3671,11/27/2018 6:09,to3
14.3914,11/27/2018 6:39,to3
13.9637,11/27/2018 7:09,to3
13.8747,11/27/2018 7:39,to3
14.2359,11/27/2018 8:09,to3
13.8895,11/27/2018 8:39,to3
14.0279,11/27/2018 9:09,to3
14.0975,11/27/2018 9:39,to3
14.0673,11/27/2018 10:09,to3
14.0019,11/27/2018 10:39,to3
13.9813,11/27/2018 11:09,to3
14.0156,11/27/2018 11:39,to3
13.9938,11/27/2018 12:09,to3
13.9837,11/27/2018 12:39,to3
14.0021,11/27/2018 13:09,to3
14.0196,11/27/2018 13:39,to3
13.9569,11/27/2018 14:09,to3
13.8585,11/27/2018 14:39,to3
13.8115,11/27/2018 15:09,to3
13.7603,11/27/2018 15:39,to3
13.7197,11/27/2018 16:09,to3
13.5719,11/27/2018 16:39,to3
13.5077,11/27/2018 17:09,to3
13.5674,11/27/2018 17:39,to3
13.5617,11/27/2018 18:09,to3
13.3861,11/27/2018 18:39,to3
13.7595,11/27/2018 19:09,to3
13.8067,11/27/2018 19:39,to3
